"state","year","state_fips","ranney1_sen_dem_prop","ranney2_hs_dem_prop","dempid_est","reppid_est","dempid_se","reppid_se","policysociallib_est","policyeconlib_est","masssociallib_est","masseconlib_est","policysociallib_se","policyeconlib_se","masssociallib_se","masseconlib_se","dem_prez_vote","rep_prez_vote"
"Texas",1991,48,0.7419355,0.62,0.357361549040493,0.288833498783802,0.0062640319042301,0.0062093725224845,-0.326149804092609,-0.945665492552071,-0.142447644534547,0.0294116743376199,0.332253765173549,0.338187655164524,0.172213020196766,0.0908491442205574,43.3,56
"Texas",1992,48,0.5806451,0.62,0.356956787606613,0.287882875704897,0.0062976165963185,0.0060234865368548,-0.307238986195377,-0.906305480038828,-0.0505015021871637,0.0432487604703871,0.328014797409398,0.34864480755774,0.153621057953276,0.0918585132364194,37.1,40.6
"Texas",1993,48,0.5806451,0.62,0.352146888614957,0.286586063462562,0.0063217035044704,0.006499537348561,-0.350892409450101,-1.1070987535455,0.11822723710785,-0.270456347876256,0.361134521814866,0.400666365197314,0.159623489047018,0.0953356364962272,37.1,40.6
"Texas",1994,48,0.5483871,0.5933333,0.352149029016736,0.289593758338303,0.0064730675642778,0.0065454681874043,-0.22465016533376,-1.04453570766695,0.0721021707497525,-0.197642506581341,0.380537262548099,0.42595687886218,0.118673922290943,0.118591904416559,37.1,40.6
"Texas",1995,48,0.5483871,0.5933333,0.349742334852372,0.299514058543754,0.0060202595476271,0.0058228288607372,-0.323332095664214,-0.991876889488949,0.143263233276031,-0.501664324254636,0.378690133011585,0.406064549152487,0.165785998235088,0.109044628018037,37.1,40.6
"Texas",1996,48,0.4516129,0.5466667,0.349685630043779,0.30091440473044,0.0063904129578402,0.0060651716744381,-0.350550026943221,-1.19028412260081,0.211252169544537,-0.156798038621656,0.343340021715905,0.394048523691319,0.123359872684482,0.128126253582478,43.8,48.8
"Texas",1997,48,0.4516129,0.5466667,0.344373973143878,0.310146007896428,0.0067052062354958,0.0063996146231803,-0.268327599892569,-1.07450451439553,0.228831323531521,-0.404242399059612,0.357551116651833,0.396569867519301,0.167739517516684,0.130608219754121,43.8,48.8
"Texas",1998,48,0.483871,0.52,0.344134203736873,0.318442726900887,0.0062471506100235,0.0060968580980227,-0.29575115496128,-1.22804556827818,0.167649932935616,-0.328970993317364,0.339432697613562,0.396489338306831,0.132643133583075,0.138747397119846,43.8,48.8
"Texas",1999,48,0.483871,0.52,0.337992992489534,0.329014697772248,0.0059586441597142,0.0059473021893805,-0.332644015620536,-1.04031668616281,0.161730301631646,-0.227635258233808,0.343771132831858,0.405836857244657,0.182449287366657,0.131154956548466,43.8,48.8
"Texas",2000,48,0.483871,0.52,0.340433946113839,0.343343451546845,0.0046849213651352,0.0048537829768094,-0.382809996204545,-1.0923890811226,0.291869745531517,-0.320884804916647,0.334002586282151,0.40065860253608,0.145575864393401,0.0995693831065179,38,59.3
